UserID,TrackID,Score
199810,208019,0.1464
199810,74139,0.301310044
199810,9903,0.1464
199810,242681,0.1464
199810,18515,0.646090535
199810,105760,0.82238806
199812,276940,0.1464
199812,142408,0.992376992
199812,130023,0.992376992
199812,29189,0.301310044
199812,223706,0.82238806
199812,211361,0.1464
199813,188441,0.82238806
199813,20968,0.301310044
199813,21571,0.992376992
199813,79640,0.82238806
199813,184173,0.646090535
199813,111874,0.301310044
199814,122375,0.1464
199814,189043,0.992376992
199814,122429,0.1464
199814,52519,0.1464
199814,232332,0.992376992
199814,262193,0.992376992
199815,64345,0.646090535
199815,118841,0.1464
199815,275682,0.992376992
199815,30062,0.82238806
199815,258473,0.992376992
199815,129866,0.1464
199816,274758,0.1464
199816,102153,0.992376992
199816,183464,0.1464
199816,23616,0.992376992
199816,81699,0.992376992
199816,46627,0.301310044
199817,83722,0.992376992
199817,200166,0.992376992
199817,148603,0.1464
199817,88745,0.1464
199817,144775,0.992376992
199817,222966,0.1464
199818,141875,0.301310044
199818,290905,0.1464
199818,59789,0.646090535
199818,283698,0.301310044
199818,106788,0.992376992
199818,235999,0.992376992
199819,202308,0.1464
199819,36793,0.82238806
199819,247549,0.1464
199819,214280,0.1464
199819,123424,0.1464
199819,193003,0.82238806
199820,235240,0.992376992
199820,292341,0.1464
199820,126082,0.301310044
199820,142163,0.82238806
199820,20067,0.992376992
199820,286335,0.82238806
199821,231569,0.301310044
199821,51933,0.1464
199821,16949,0.82238806
199821,34642,0.1464
199821,229894,0.82238806
199821,42811,0.1464
199822,47402,0.992376992
199822,21317,0.992376992
199822,185734,0.1464
199822,92685,0.1464
199822,110099,0.1464
199822,33495,0.82238806
199823,21593,0.301310044
199823,132124,0.992376992
199823,170625,0.301310044
199823,30365,0.646090535
199823,143570,0.646090535
199823,254625,0.646090535
199824,281826,0.992376992
199824,253265,0.1464
199824,48891,0.992376992
199824,33980,0.646090535
199824,207963,0.82238806
199824,126528,0.1464
199826,48808,0.82238806
199826,223958,0.1464
199826,179298,0.1464
199826,5121,0.1464
199826,31975,0.301310044
199826,38775,0.301310044
199827,92599,0.1464
199827,75369,0.301310044
199827,184197,0.992376992
199827,183841,0.992376992
199827,197936,0.992376992
199827,138391,0.301310044
199830,36027,0.82238806
199830,29249,0.82238806
199830,221237,0.82238806
199830,123579,0.82238806
199830,19694,0.82238806
199830,255036,0.82238806
199838,6143,0.1464
199838,24607,0.301310044
199838,95726,0.301310044
199838,46697,0.1464
199838,256209,0.992376992
199838,266780,0.992376992
199839,7477,0.1464
199839,266143,0.1464
199839,291820,0.1464
199839,196470,0.301310044
199839,263222,0.301310044
199839,225097,0.992376992
199844,77700,0.1464
199844,138272,0.82238806
199844,140229,0.1464
199844,43472,0.1464
199844,118108,0.1464
199844,81165,0.82238806
199845,189985,0.1464
199845,31440,0.646090535
199845,169945,0.992376992
199845,95594,0.1464
199845,238400,0.992376992
199845,100669,0.301310044
199846,273378,0.1464
199846,19705,0.1464
199846,20499,0.646090535
199846,101984,0.1464
199846,214726,0.1464
199846,61792,0.1464
199847,44444,0.1464
199847,39446,0.992376992
199847,282901,0.992376992
199847,63072,0.1464
199847,19595,0.301310044
199847,127769,0.992376992
199853,54037,0.301310044
199853,89981,0.992376992
199853,256134,0.1464
199853,213546,0.301310044
199853,222196,0.82238806
199853,161111,0.992376992
199854,226277,0.992376992
199854,92910,0.992376992
199854,214592,0.936170213
199854,20999,0.1464
199854,154755,0.1464
199854,228397,0.1464
199855,252693,0.992376992
199855,69487,0.1464
199855,24631,0.1464
199855,50032,0.992376992
199855,277150,0.1464
199855,4836,0.992376992
199858,142462,0.1464
199858,255065,0.1464
199858,85596,0.1464
199858,269486,0.992376992
199858,30595,0.992376992
199858,37731,1
199859,22400,0.1464
199859,105128,0.992376992
199859,2877,0.82238806
199859,51667,0.1464
199859,289911,0.992376992
199859,17,0.1464
199861,192584,0.301310044
199861,56525,0.301310044
199861,94381,0.992376992
199861,249701,0.301310044
199861,127111,0.1464
199861,77154,0.992376992
199862,80123,0.1464
199862,108161,0.301310044
199862,179298,0.301310044
199862,280411,0.1464
199862,196729,0.301310044
199862,225847,0.646090535
199863,222604,0.992376992
199863,126413,0.82238806
199863,144718,0.992376992
199863,241999,0.1464
199863,184020,0.992376992
199863,249930,0.301310044
199866,142729,0.1464
199866,117929,0.82238806
199866,252600,0.992376992
199866,125126,0.1464
199866,46889,0.646090535
199866,291314,0.936170213
199868,24085,0.992376992
199868,80589,0.1464
199868,79604,0.1464
199868,218286,0.1464
199868,122067,0.1464
199868,257899,0.1464
199873,8379,0.301310044
199873,217580,0.301310044
199873,65230,0.646090535
199873,65855,0.301310044
199873,241597,0.82238806
199873,187050,0.82238806
199876,257097,0.646090535
199876,277360,0.992376992
199876,69317,0.301310044
199876,47894,1
199876,102449,0.992376992
199876,267088,0.1464
199880,266143,0.1464
199880,224615,0.992376992
199880,154327,0.1464
199880,14107,0.992376992
199880,22640,0.1464
199880,133341,0.1464
199882,146575,0.1464
199882,192238,0.1464
199882,109824,0.1464
199882,125958,0.82238806
199882,79309,0.1464
199882,42782,0.992376992
199884,36155,0.1464
199884,5444,0.646090535
199884,150640,0.992376992
199884,155463,0.992376992
199884,247800,0.992376992
199884,152366,0.301310044
199886,134307,0.1464
199886,255399,0.1464
199886,155743,0.301310044
199886,151269,0.992376992
199886,200432,0.1464
199886,87913,0.301310044
199890,114634,0.646090535
199890,151926,0.301310044
199890,190001,0.301310044
199890,286440,0.301310044
199890,48289,0.1464
199890,141713,0.301310044
199891,32135,0.301310044
199891,244657,0.82238806
199891,117789,0.1464
199891,45103,0.1464
199891,279606,0.992376992
199891,280110,0.1464
199894,279067,0.301310044
199894,15811,0.301310044
199894,250006,0.301310044
199894,31746,0.936170213
199894,251949,0.1464
199894,9592,0.1464
199895,195551,0.992376992
199895,69797,0.992376992
199895,59891,0.301310044
199895,249919,0.1464
199895,229468,0.992376992
199895,276415,0.301310044
199896,175151,0.82238806
199896,101756,0.1464
199896,222456,0.992376992
199896,183890,0.992376992
199896,42748,0.1464
199896,59296,0.1464
199899,30902,0.82238806
199899,54300,0.1464
199899,46394,0.1464
199899,236744,0.82238806
199899,40880,0.1464
199899,210352,0.82238806
199900,219739,0.1464
199900,287949,0.1464
199900,23822,0.82238806
199900,44210,0.1464
199900,261886,0.82238806
199900,110099,0.1464
199902,111243,0.82238806
199902,124466,0.646090535
199902,263958,0.992376992
199902,249140,0.1464
199902,298,0.1464
199902,127445,0.646090535
199907,64481,0.82238806
199907,61826,0.82238806
199907,54636,0.301310044
199907,52391,0.1464
199907,172050,0.82238806
199907,78355,0.301310044
199911,152843,0.1464
199911,23252,0.301310044
199911,170920,0.992376992
199911,21878,0.992376992
199911,50179,0.1464
199911,229538,0.992376992
199912,252021,0.1464
199912,125831,0.646090535
199912,233293,0.1464
199912,286721,0.1464
199912,87357,0.1464
199912,188926,0.1464
199914,284745,0.82238806
199914,137479,0.1464
199914,94531,0.82238806
199914,295555,0.82238806
199914,262472,0.1464
199914,78278,0.1464
199915,118642,0.1464
199915,252839,0.1464
199915,232361,0.82238806
199915,11535,0.992376992
199915,266171,1
199915,29554,0.992376992
199918,251164,0.992376992
199918,114265,0.301310044
199918,103426,0.301310044
199918,138333,0.992376992
199918,150958,0.1464
199918,242417,0.992376992
199920,237580,0.992376992
199920,138590,0.1464
199920,77933,0.992376992
199920,247578,0.646090535
199920,144100,0.992376992
199920,106344,0.646090535
199921,48891,0.646090535
199921,175928,0.301310044
199921,143902,0.1464
199921,95242,0.82238806
199921,198864,0.301310044
199921,76816,0.1464
199924,108161,0.301310044
199924,16078,0.936170213
199924,120535,0.936170213
199924,54651,0.1464
199924,49904,0.1464
199924,62568,0.1464
199926,142473,0.1464
199926,180224,0.1464
199926,73940,0.1464
199926,44783,0.82238806
199926,139444,0.1464
199926,41368,0.82238806
199928,137693,0.992376992
199928,87125,0.1464
199928,171481,0.992376992
199928,251278,0.1464
199928,65142,0.1464
199928,215837,0.992376992
199931,140334,0.1464
199931,90442,0.301310044
199931,161183,0.992376992
199931,242657,0.1464
199931,149874,0.82238806
199931,122518,0.1464
199932,131954,0.1464
199932,68360,0.1464
199932,119027,0.82238806
199932,284320,0.1464
199932,104542,0.1464
199932,2924,0.301310044
199934,222840,0.1464
199934,18198,0.646090535
199934,37960,0.1464
199934,250816,0.936170213
199934,170214,0.936170213
199934,44222,0.936170213
199936,32596,0.992376992
199936,12969,0.1464
199936,216902,0.1464
199936,89110,0.646090535
199936,71574,0.992376992
199936,245276,0.1464
199937,20538,0.1464
199937,151964,0.992376992
199937,171735,0.82238806
199937,163166,0.992376992
199937,95326,0.1464
199937,270004,0.992376992
199939,111062,0.1464
199939,223859,0.82238806
199939,165847,0.1464
199939,245574,0.1464
199939,171700,0.1464
199939,12922,0.646090535
199941,135759,0.992376992
199941,261128,0.1464
199941,220067,0.1464
199941,191060,0.992376992
199941,45668,0.82238806
199941,92843,0.1464
199944,67182,0.1464
199944,281157,0.992376992
199944,18733,0.992376992
199944,166911,0.1464
199944,181496,0.992376992
199944,118642,0.1464
199947,107099,0.1464
199947,99698,0.1464
