UseID,TrackID,Score
199810,208019,0.211226587
199810,74139,0.331751964
199810,9903,0.211226587
199810,242681,0.211226587
199810,18515,0.639684697
199810,105760,0.715148025
199812,276940,0.211226587
199812,142408,0.936528149
199812,130023,0.939191523
199812,29189,0.335170026
199812,223706,0.712484651
199812,211361,0.211226587
199813,188441,0.715148025
199813,20968,0.335170026
199813,21571,0.929737142
199813,79640,0.714584426
199813,184173,0.704511919
199813,111874,0.340996218
199814,122375,0.211226587
199814,189043,0.925415409
199814,122429,0.211226587
199814,52519,0.211226587
199814,232332,0.929737142
199814,262193,0.925415409
199815,64345,0.703802021
199815,118841,0.211226587
199815,275682,0.941888303
199815,30062,0.714304561
199815,258473,0.928948004
199815,129866,0.211226587
199816,274758,0.211226587
199816,102153,0.939517577
199816,183464,0.211226587
199816,23616,0.940204964
199816,81699,0.939517577
199816,46627,0.387240485
199817,83722,0.929737142
199817,200166,0.929737142
199817,148603,0.211226587
199817,88745,0.211226587
199817,144775,0.929737142
199817,222966,0.211226587
199818,141875,0.354654388
199818,290905,0.211226587
199818,59789,0.707175292
199818,283698,0.338288341
199818,106788,0.941888303
199818,235999,0.929737142
199819,202308,0.211226587
199819,36793,0.713316404
199819,247549,0.211226587
199819,214280,0.211226587
199819,123424,0.211226587
199819,193003,0.712484651
199820,235240,0.929737142
199820,292341,0.211226587
199820,126082,0.344325826
199820,142163,0.64765743
199820,20067,0.929737142
199820,286335,0.64765743
199821,231569,0.338288341
199821,51933,0.211226587
199821,16949,0.713316404
199821,34642,0.211226587
199821,229894,0.713316404
199821,42811,0.211226587
199822,47402,0.936528149
199822,21317,0.934540497
199822,185734,0.211226587
199822,92685,0.257597485
199822,110099,0.257597485
199822,33495,0.716649429
199823,21593,0.331045867
199823,132124,0.937651289
199823,170625,0.344325826
199823,30365,0.638143046
199823,143570,0.68857002
199823,254625,0.673642678
199824,281826,0.929737142
199824,253265,0.240193547
199824,48891,0.929737142
199824,33980,0.639684697
199824,207963,0.718597186
199824,126528,0.211226587
199826,48808,0.64765743
199826,223958,0.211226587
199826,179298,0.211226587
199826,5121,0.211226587
199826,31975,0.33656356
199826,38775,0.338288341
199827,92599,0.211226587
199827,75369,0.340996218
199827,184197,0.93743739
199827,183841,0.936528149
199827,197936,0.936528149
199827,138391,0.33656356
199830,36027,0.715381408
199830,29249,0.716649429
199830,221237,0.715381408
199830,123579,0.714549655
199830,19694,0.716369565
199830,255036,0.64765743
199838,6143,0.211226587
199838,24607,0.340996218
199838,95726,0.335170026
199838,46697,0.211226587
199838,256209,0.929737142
199838,266780,0.939191523
199839,7477,0.211226587
199839,266143,0.211226587
199839,291820,0.211226587
199839,196470,0.338288341
199839,263222,0.338288341
199839,225097,0.929737142
199844,77700,0.211226587
199844,138272,0.64765743
199844,140229,0.211226587
199844,43472,0.211226587
199844,118108,0.211226587
199844,81165,0.64765743
199845,189985,0.211226587
199845,31440,0.638143046
199845,169945,0.929737142
199845,95594,0.211226587
199845,238400,0.937651289
199845,100669,0.338288341
199846,273378,0.211226587
199846,19705,0.236775485
199846,20499,0.707408675
199846,101984,0.244531842
199846,214726,0.211226587
199846,61792,0.211226587
199847,44444,0.211226587
199847,39446,0.929737142
199847,282901,0.934540497
199847,63072,0.211226587
199847,19595,0.348275301
199847,127769,0.946464667
199853,54037,0.340996218
199853,89981,0.929737142
199853,256134,0.211226587
199853,213546,0.338288341
199853,222196,0.712484651
199853,161111,0.93743739
199854,226277,0.90777312
199854,92910,0.926210293
199854,214592,0.87964983
199854,20999,0.211226587
199854,154755,0.211226587
199854,228397,0.211226587
199855,252693,0.929737142
199855,69487,0.211226587
199855,24631,0.211226587
199855,50032,0.929737142
199855,277150,0.257597485
199855,4836,0.943057821
199858,142462,0.294497552
199858,255065,0.288294844
199858,85596,0.211226587
