,UserID,TrackID,Score
0,199810,208019,0.0
1,199810,74139,1.0
2,199810,9903,0.0
3,199810,242681,0.0
4,199810,18515,1.0
5,199810,105760,1.0
6,199812,276940,0.0
7,199812,142408,1.0
8,199812,130023,1.0
9,199812,29189,0.0
10,199812,223706,1.0
11,199812,211361,0.0
12,199813,188441,1.0
13,199813,20968,0.0
14,199813,21571,1.0
15,199813,79640,1.0
16,199813,184173,0.0
17,199813,111874,0.0
18,199814,122375,0.0
19,199814,189043,1.0
20,199814,122429,0.0
21,199814,52519,0.0
22,199814,232332,1.0
23,199814,262193,1.0
24,199815,64345,0.0
25,199815,118841,0.0
26,199815,275682,1.0
27,199815,30062,1.0
28,199815,258473,1.0
29,199815,129866,0.0
30,199816,274758,0.0
31,199816,102153,1.0
32,199816,183464,0.0
33,199816,23616,1.0
34,199816,81699,1.0
35,199816,46627,0.0
36,199817,83722,1.0
37,199817,200166,1.0
38,199817,148603,0.0
39,199817,88745,0.0
40,199817,144775,1.0
41,199817,222966,0.0
42,199818,141875,0.0
43,199818,290905,0.0
44,199818,59789,1.0
45,199818,283698,0.0
46,199818,106788,1.0
47,199818,235999,1.0
48,199819,202308,0.0
49,199819,36793,1.0
50,199819,247549,0.0
51,199819,214280,0.0
52,199819,123424,1.0
53,199819,193003,1.0
54,199820,235240,1.0
55,199820,292341,0.0
56,199820,126082,0.0
57,199820,142163,0.0
58,199820,20067,1.0
59,199820,286335,1.0
60,199821,231569,1.0
61,199821,51933,0.0
62,199821,16949,1.0
63,199821,34642,0.0
64,199821,229894,1.0
65,199821,42811,0.0
66,199822,47402,1.0
67,199822,21317,1.0
68,199822,185734,0.0
69,199822,92685,0.0
70,199822,110099,0.0
71,199822,33495,1.0
72,199823,21593,0.0
73,199823,132124,1.0
74,199823,170625,0.0
75,199823,30365,0.0
76,199823,143570,1.0
77,199823,254625,1.0
78,199824,281826,1.0
79,199824,253265,0.0
80,199824,48891,1.0
81,199824,33980,0.0
82,199824,207963,1.0
83,199824,126528,0.0
84,199826,48808,1.0
85,199826,223958,0.0
86,199826,179298,0.0
87,199826,5121,0.0
88,199826,31975,1.0
89,199826,38775,1.0
90,199827,92599,0.0
91,199827,75369,0.0
92,199827,184197,1.0
93,199827,183841,1.0
94,199827,197936,1.0
95,199827,138391,0.0
96,199830,36027,0.0
97,199830,29249,0.0
98,199830,221237,1.0
99,199830,123579,1.0
100,199830,19694,1.0
101,199830,255036,0.0
102,199838,6143,0.0
103,199838,24607,0.0
104,199838,95726,1.0
105,199838,46697,0.0
106,199838,256209,1.0
107,199838,266780,1.0
108,199839,7477,0.0
109,199839,266143,0.0
110,199839,291820,0.0
111,199839,196470,1.0
112,199839,263222,1.0
113,199839,225097,1.0
114,199844,77700,0.0
115,199844,138272,1.0
116,199844,140229,0.0
117,199844,43472,0.0
118,199844,118108,1.0
119,199844,81165,1.0
120,199845,189985,0.0
121,199845,31440,1.0
122,199845,169945,1.0
123,199845,95594,0.0
124,199845,238400,1.0
125,199845,100669,0.0
126,199846,273378,0.0
127,199846,19705,1.0
128,199846,20499,1.0
129,199846,101984,1.0
130,199846,214726,0.0
131,199846,61792,0.0
132,199847,44444,0.0
133,199847,39446,1.0
134,199847,282901,1.0
135,199847,63072,0.0
136,199847,19595,0.0
137,199847,127769,1.0
138,199853,54037,0.0
139,199853,89981,1.0
140,199853,256134,0.0
141,199853,213546,0.0
142,199853,222196,1.0
143,199853,161111,1.0
144,199854,226277,1.0
145,199854,92910,1.0
146,199854,214592,1.0
147,199854,20999,0.0
148,199854,154755,0.0
149,199854,228397,0.0
150,199855,252693,1.0
151,199855,69487,0.0
152,199855,24631,0.0
153,199855,50032,1.0
154,199855,277150,0.0
155,199855,4836,1.0
156,199858,142462,0.0
157,199858,255065,0.0
158,199858,85596,0.0
159,199858,269486,1.0
160,199858,30595,1.0
161,199858,37731,1.0
162,199859,22400,0.0
163,199859,105128,1.0
164,199859,2877,1.0
165,199859,51667,0.0
166,199859,289911,1.0
167,199859,17,0.0
168,199861,192584,0.0
169,199861,56525,0.0
170,199861,94381,1.0
171,199861,249701,1.0
172,199861,127111,0.0
173,199861,77154,1.0
174,199862,80123,0.0
175,199862,108161,1.0
176,199862,179298,0.0
177,199862,280411,0.0
178,199862,196729,1.0
179,199862,225847,1.0
180,199863,222604,1.0
181,199863,126413,0.0
182,199863,144718,1.0
183,199863,241999,0.0
184,199863,184020,1.0
185,199863,249930,0.0
186,199866,142729,0.0
187,199866,117929,1.0
188,199866,252600,1.0
189,199866,125126,0.0
190,199866,46889,0.0
191,199866,291314,1.0
192,199868,24085,1.0
193,199868,80589,0.0
